nmMunicipio;cdIBGEcomDigito;gentilico;populacao;area;densidadeDemografica;valorAdicionadoBrutoTotal
Abatiá;4100103;abatiense;7.764;228,72;34,0;127.953
Adrianópolis;4100202;adrianopolitano;6.376;1.349,33;4,7;87.597
Agudos do Sul;4100301;agudense-do-sul;8.270;192,26;43,0;132.180
Almirante Tamandaré;4100400;tamandareense;103.204;194,74;530,0;1.177.008
Altamira do Paraná;4100459;altamirense;4.306;386,95;11,1;54.702
Alto Paraíso;4128625;altoparaisense;3.206;967,77;3,3;61.427
Alto Paraná;4100608;alto-paranaense;13.663;407,72;33,5;267.339
Alto Piquiri;4100707;alto-piquirense;10.179;447,67;22,7;198.636
Altônia;4100509;altoniano;20.516;661,56;31,0;248.287
Alvorada do Sul;4100806;alvoradense-do-sul;10.283;424,25;24,2;163.203
Amaporã;4100905;amaporense;5.443;384,74;14,2;77.795
Ampére;4101002;amperense;17.308;298,35;58,0;414.461
Anahy;4101051;anaiense;2.874;102,65;28,0;60.915
Andirá;4101101;andiraense;20.610;236,08;87,3;529.950
Ângulo;4101150;angulense;2.859;106,02;27,0;63.394
Antonina;4101200;antoninense;18.891;882,32;21,4;311.205
Antônio Olinto;4101309;antoniolintense;7.351;469,62;15,7;151.851
Apucarana;4101408;apucaranense;120.919;558,39;216,6;2.652.125
Arapongas;4101507;araponguense;104.150;382,22;272,5;3.817.084
Arapoti;4101606;arapotiense;25.855;1.360,49;19,0;811.617
Arapuã;4101655;arapuãense;3.561;217,37;16,3;84.956
Araruna;4101705;ararunense;13.419;493,19;27,2;392.383
Araucária;4101804;araucariano;119.123;469,24;253,9;6.287.648
Ariranha do Ivaí;4101853;ariranhense do ivaí;2.453;239,56;10,2;70.813
Assaí;4101903;assaiense;16.354;440,35;37,1;355.279
Assis Chateaubriand;4102000;assis-chateaubriense;33.025;969,59;34,1;823.990
Astorga;4102109;astorgano;24.698;434,79;56,8;465.342
Atalaia;4102208;atalaiense;3.913;137,66;28,4;89.673
Balsa Nova;4102307;balsa-novense;11.300;348,93;32,4;589.510
Bandeirantes;4102406;bandeirantense;32.184;445,19;72,3;472.313
Barbosa Ferraz;4102505;barbosense;12.656;538,64;23,5;163.614
Barra do Jacaré;4102703;barrense;2.727;115,72;23,6;77.030
Barracão;4102604;barraconense;9.735;171,40;56,8;179.280
Bela Vista da Caroba;4102752;boaesperencense;3.945;148,11;26,6;55.194
Bela Vista do Paraíso;4102802;bela-vistense;15.079;242,69;62,1;288.127
